id,task_type,explanation_text,original_srta_score,ground_truth
previous_001,CoLA,Your actual explanation text from sample 1,,
previous_002,XNLI,Your actual explanation text from sample 2,,
previous_003,CoLA,Your actual explanation text from sample 3,,
previous_004,XNLI,Your actual explanation text from sample 4,,
previous_005,CoLA,Your actual explanation text from sample 5,,
previous_006,XNLI,Your actual explanation text from sample 6,,
previous_007,CoLA,Your actual explanation text from sample 7,,
previous_008,XNLI,Your actual explanation text from sample 8,,
previous_009,CoLA,Your actual explanation text from sample 9,,
previous_010,XNLI,Your actual explanation text from sample 10,,
previous_011,CoLA,Your actual explanation text from sample 11,,
previous_012,XNLI,Your actual explanation text from sample 12,,
previous_013,CoLA,Your actual explanation text from sample 13,,
previous_014,XNLI,Your actual explanation text from sample 14,,
previous_015,CoLA,Your actual explanation text from sample 15,,
previous_016,XNLI,Your actual explanation text from sample 16,,
previous_017,CoLA,Your actual explanation text from sample 17,,
previous_018,XNLI,Your actual explanation text from sample 18,,
previous_019,CoLA,Your actual explanation text from sample 19,,
previous_020,XNLI,Your actual explanation text from sample 20,,
previous_021,CoLA,Your actual explanation text from sample 21,,
previous_022,XNLI,Your actual explanation text from sample 22,,
previous_023,CoLA,Your actual explanation text from sample 23,,
previous_024,XNLI,Your actual explanation text from sample 24,,
previous_025,CoLA,Your actual explanation text from sample 25,,
previous_026,XNLI,Your actual explanation text from sample 26,,
previous_027,CoLA,Your actual explanation text from sample 27,,
previous_028,XNLI,Your actual explanation text from sample 28,,
previous_029,CoLA,Your actual explanation text from sample 29,,
previous_030,XNLI,Your actual explanation text from sample 30,,
previous_031,CoLA,Your actual explanation text from sample 31,,
previous_032,XNLI,Your actual explanation text from sample 32,,
previous_033,CoLA,Your actual explanation text from sample 33,,
previous_034,XNLI,Your actual explanation text from sample 34,,
previous_035,CoLA,Your actual explanation text from sample 35,,
previous_036,XNLI,Your actual explanation text from sample 36,,
previous_037,CoLA,Your actual explanation text from sample 37,,
previous_038,XNLI,Your actual explanation text from sample 38,,
previous_039,CoLA,Your actual explanation text from sample 39,,
previous_040,XNLI,Your actual explanation text from sample 40,,
previous_041,CoLA,Your actual explanation text from sample 41,,
previous_042,XNLI,Your actual explanation text from sample 42,,
previous_043,CoLA,Your actual explanation text from sample 43,,
previous_044,XNLI,Your actual explanation text from sample 44,,
previous_045,CoLA,Your actual explanation text from sample 45,,
previous_046,XNLI,Your actual explanation text from sample 46,,
previous_047,CoLA,Your actual explanation text from sample 47,,
previous_048,XNLI,Your actual explanation text from sample 48,,
previous_049,CoLA,Your actual explanation text from sample 49,,
previous_050,XNLI,Your actual explanation text from sample 50,,
previous_051,CoLA,Your actual explanation text from sample 51,,
previous_052,XNLI,Your actual explanation text from sample 52,,
previous_053,CoLA,Your actual explanation text from sample 53,,
previous_054,XNLI,Your actual explanation text from sample 54,,
previous_055,CoLA,Your actual explanation text from sample 55,,
previous_056,XNLI,Your actual explanation text from sample 56,,
previous_057,CoLA,Your actual explanation text from sample 57,,
previous_058,XNLI,Your actual explanation text from sample 58,,
previous_059,CoLA,Your actual explanation text from sample 59,,
previous_060,XNLI,Your actual explanation text from sample 60,,
previous_061,CoLA,Your actual explanation text from sample 61,,
previous_062,XNLI,Your actual explanation text from sample 62,,
previous_063,CoLA,Your actual explanation text from sample 63,,
previous_064,XNLI,Your actual explanation text from sample 64,,
previous_065,CoLA,Your actual explanation text from sample 65,,
previous_066,XNLI,Your actual explanation text from sample 66,,
previous_067,CoLA,Your actual explanation text from sample 67,,
previous_068,XNLI,Your actual explanation text from sample 68,,
previous_069,CoLA,Your actual explanation text from sample 69,,
previous_070,XNLI,Your actual explanation text from sample 70,,
previous_071,CoLA,Your actual explanation text from sample 71,,
previous_072,XNLI,Your actual explanation text from sample 72,,
previous_073,CoLA,Your actual explanation text from sample 73,,
previous_074,XNLI,Your actual explanation text from sample 74,,
previous_075,CoLA,Your actual explanation text from sample 75,,
previous_076,XNLI,Your actual explanation text from sample 76,,
previous_077,CoLA,Your actual explanation text from sample 77,,
previous_078,XNLI,Your actual explanation text from sample 78,,
previous_079,CoLA,Your actual explanation text from sample 79,,
previous_080,XNLI,Your actual explanation text from sample 80,,
previous_081,CoLA,Your actual explanation text from sample 81,,
previous_082,XNLI,Your actual explanation text from sample 82,,
previous_083,CoLA,Your actual explanation text from sample 83,,
previous_084,XNLI,Your actual explanation text from sample 84,,
previous_085,CoLA,Your actual explanation text from sample 85,,
previous_086,XNLI,Your actual explanation text from sample 86,,
previous_087,CoLA,Your actual explanation text from sample 87,,
previous_088,XNLI,Your actual explanation text from sample 88,,
previous_089,CoLA,Your actual explanation text from sample 89,,
previous_090,XNLI,Your actual explanation text from sample 90,,
previous_091,CoLA,Your actual explanation text from sample 91,,
previous_092,XNLI,Your actual explanation text from sample 92,,
previous_093,CoLA,Your actual explanation text from sample 93,,
previous_094,XNLI,Your actual explanation text from sample 94,,
previous_095,CoLA,Your actual explanation text from sample 95,,
previous_096,XNLI,Your actual explanation text from sample 96,,
previous_097,CoLA,Your actual explanation text from sample 97,,
previous_098,XNLI,Your actual explanation text from sample 98,,
previous_099,CoLA,Your actual explanation text from sample 99,,
previous_100,XNLI,Your actual explanation text from sample 100,,
previous_101,CoLA,Your actual explanation text from sample 101,,
previous_102,XNLI,Your actual explanation text from sample 102,,
previous_103,CoLA,Your actual explanation text from sample 103,,
previous_104,XNLI,Your actual explanation text from sample 104,,
previous_105,CoLA,Your actual explanation text from sample 105,,
previous_106,XNLI,Your actual explanation text from sample 106,,
previous_107,CoLA,Your actual explanation text from sample 107,,
previous_108,XNLI,Your actual explanation text from sample 108,,
previous_109,CoLA,Your actual explanation text from sample 109,,
previous_110,XNLI,Your actual explanation text from sample 110,,
previous_111,CoLA,Your actual explanation text from sample 111,,
previous_112,XNLI,Your actual explanation text from sample 112,,
previous_113,CoLA,Your actual explanation text from sample 113,,
previous_114,XNLI,Your actual explanation text from sample 114,,
previous_115,CoLA,Your actual explanation text from sample 115,,
previous_116,XNLI,Your actual explanation text from sample 116,,
previous_117,CoLA,Your actual explanation text from sample 117,,
previous_118,XNLI,Your actual explanation text from sample 118,,
previous_119,CoLA,Your actual explanation text from sample 119,,
previous_120,XNLI,Your actual explanation text from sample 120,,
previous_121,CoLA,Your actual explanation text from sample 121,,
previous_122,XNLI,Your actual explanation text from sample 122,,
previous_123,CoLA,Your actual explanation text from sample 123,,
previous_124,XNLI,Your actual explanation text from sample 124,,
previous_125,CoLA,Your actual explanation text from sample 125,,
previous_126,XNLI,Your actual explanation text from sample 126,,
previous_127,CoLA,Your actual explanation text from sample 127,,
previous_128,XNLI,Your actual explanation text from sample 128,,
previous_129,CoLA,Your actual explanation text from sample 129,,
previous_130,XNLI,Your actual explanation text from sample 130,,
previous_131,CoLA,Your actual explanation text from sample 131,,
previous_132,XNLI,Your actual explanation text from sample 132,,
previous_133,CoLA,Your actual explanation text from sample 133,,
previous_134,XNLI,Your actual explanation text from sample 134,,
previous_135,CoLA,Your actual explanation text from sample 135,,
previous_136,XNLI,Your actual explanation text from sample 136,,
previous_137,CoLA,Your actual explanation text from sample 137,,
previous_138,XNLI,Your actual explanation text from sample 138,,
previous_139,CoLA,Your actual explanation text from sample 139,,
previous_140,XNLI,Your actual explanation text from sample 140,,
previous_141,CoLA,Your actual explanation text from sample 141,,
previous_142,XNLI,Your actual explanation text from sample 142,,
previous_143,CoLA,Your actual explanation text from sample 143,,
previous_144,XNLI,Your actual explanation text from sample 144,,
previous_145,CoLA,Your actual explanation text from sample 145,,
previous_146,XNLI,Your actual explanation text from sample 146,,
previous_147,CoLA,Your actual explanation text from sample 147,,
previous_148,XNLI,Your actual explanation text from sample 148,,
previous_149,CoLA,Your actual explanation text from sample 149,,
previous_150,XNLI,Your actual explanation text from sample 150,,
previous_151,CoLA,Your actual explanation text from sample 151,,
previous_152,XNLI,Your actual explanation text from sample 152,,
previous_153,CoLA,Your actual explanation text from sample 153,,
previous_154,XNLI,Your actual explanation text from sample 154,,
previous_155,CoLA,Your actual explanation text from sample 155,,
previous_156,XNLI,Your actual explanation text from sample 156,,
previous_157,CoLA,Your actual explanation text from sample 157,,
previous_158,XNLI,Your actual explanation text from sample 158,,
previous_159,CoLA,Your actual explanation text from sample 159,,
previous_160,XNLI,Your actual explanation text from sample 160,,
previous_161,CoLA,Your actual explanation text from sample 161,,
previous_162,XNLI,Your actual explanation text from sample 162,,
previous_163,CoLA,Your actual explanation text from sample 163,,
previous_164,XNLI,Your actual explanation text from sample 164,,
previous_165,CoLA,Your actual explanation text from sample 165,,
previous_166,XNLI,Your actual explanation text from sample 166,,
previous_167,CoLA,Your actual explanation text from sample 167,,
previous_168,XNLI,Your actual explanation text from sample 168,,
previous_169,CoLA,Your actual explanation text from sample 169,,
previous_170,XNLI,Your actual explanation text from sample 170,,
previous_171,CoLA,Your actual explanation text from sample 171,,
previous_172,XNLI,Your actual explanation text from sample 172,,
previous_173,CoLA,Your actual explanation text from sample 173,,
previous_174,XNLI,Your actual explanation text from sample 174,,
previous_175,CoLA,Your actual explanation text from sample 175,,
previous_176,XNLI,Your actual explanation text from sample 176,,
previous_177,CoLA,Your actual explanation text from sample 177,,
previous_178,XNLI,Your actual explanation text from sample 178,,
previous_179,CoLA,Your actual explanation text from sample 179,,
previous_180,XNLI,Your actual explanation text from sample 180,,
previous_181,CoLA,Your actual explanation text from sample 181,,
previous_182,XNLI,Your actual explanation text from sample 182,,
previous_183,CoLA,Your actual explanation text from sample 183,,
previous_184,XNLI,Your actual explanation text from sample 184,,
previous_185,CoLA,Your actual explanation text from sample 185,,
previous_186,XNLI,Your actual explanation text from sample 186,,
previous_187,CoLA,Your actual explanation text from sample 187,,
previous_188,XNLI,Your actual explanation text from sample 188,,
previous_189,CoLA,Your actual explanation text from sample 189,,
previous_190,XNLI,Your actual explanation text from sample 190,,
previous_191,CoLA,Your actual explanation text from sample 191,,
previous_192,XNLI,Your actual explanation text from sample 192,,
previous_193,CoLA,Your actual explanation text from sample 193,,
previous_194,XNLI,Your actual explanation text from sample 194,,
previous_195,CoLA,Your actual explanation text from sample 195,,
previous_196,XNLI,Your actual explanation text from sample 196,,
previous_197,CoLA,Your actual explanation text from sample 197,,
previous_198,XNLI,Your actual explanation text from sample 198,,
previous_199,CoLA,Your actual explanation text from sample 199,,
previous_200,XNLI,Your actual explanation text from sample 200,,
