sample_id,task_type,principle_overall,expression_overall,audit_overall,consensus_overall,consensus_systematic,consensus_relevant,consensus_transparent,consensus_actionable,timestamp
original_001,CoLA,7.01,7.01,6.51,6.86,5.45,7.55,7.34,7.1,2025-09-07T12:44:30.885637
original_002,CoLA,7.0,7.0,6.5,6.85,5.45,7.55,7.28,7.1,2025-09-07T12:44:30.886638
original_003,CoLA,6.85,6.85,6.35,6.7,5.15,7.25,7.44,6.95,2025-09-07T12:44:30.887644
original_004,CoLA,7.03,7.03,6.53,6.88,5.45,7.55,7.42,7.1,2025-09-07T12:44:30.888642
original_005,CoLA,6.96,6.96,6.46,6.81,5.15,7.25,7.9,6.95,2025-09-07T12:44:30.888642
original_006,CoLA,6.98,6.98,6.48,6.83,5.25,7.35,7.74,7.0,2025-09-07T12:44:30.889641
original_007,CoLA,7.04,7.04,6.54,6.89,5.35,7.45,7.7,7.05,2025-09-07T12:44:30.890641
original_008,CoLA,6.97,6.97,6.47,6.83,5.45,7.55,7.2,7.1,2025-09-07T12:44:30.890641
original_009,CoLA,7.04,7.04,6.54,6.89,5.55,7.65,7.2,7.15,2025-09-07T12:44:30.892646
original_010,CoLA,6.97,6.97,6.47,6.83,5.45,7.55,7.2,7.1,2025-09-07T12:44:30.892646
original_011,CoLA,7.1,7.1,6.6,6.95,5.85,7.75,6.9,7.3,2025-09-07T12:44:30.893641
original_012,CoLA,6.92,6.92,6.42,6.78,5.25,7.35,7.5,7.0,2025-09-07T12:44:30.894644
original_013,CoLA,7.14,7.14,6.64,6.99,5.75,7.85,7.1,7.25,2025-09-07T12:44:30.895644
original_014,CoLA,6.97,6.97,6.47,6.82,5.25,7.35,7.68,7.0,2025-09-07T12:44:30.896646
original_015,CoLA,7.05,7.05,6.55,6.9,6.05,7.55,6.6,7.4,2025-09-07T12:44:30.897641
original_016,CoLA,7.08,7.08,6.58,6.92,5.85,7.75,6.8,7.3,2025-09-07T12:44:30.898645
original_017,CoLA,6.88,6.88,6.38,6.73,5.05,7.15,7.84,6.9,2025-09-07T12:44:30.898645
original_018,CoLA,6.82,6.82,6.32,6.67,4.95,7.05,7.82,6.85,2025-09-07T12:44:30.899642
original_019,CoLA,6.9,6.9,6.4,6.75,5.15,7.25,7.64,6.95,2025-09-07T12:44:30.900647
original_020,CoLA,6.91,6.91,6.41,6.76,5.15,7.25,7.7,6.95,2025-09-07T12:44:30.900647
original_021,CoLA,6.83,6.83,6.33,6.68,4.95,7.05,7.86,6.85,2025-09-07T12:44:30.901645
original_022,CoLA,6.87,6.87,6.37,6.72,5.05,7.15,7.78,6.9,2025-09-07T12:44:30.902640
original_023,CoLA,7.16,7.16,6.66,7.01,5.95,7.65,7.08,7.35,2025-09-07T12:44:30.903642
original_024,CoLA,6.75,6.75,6.25,6.6,4.65,6.75,8.3,6.7,2025-09-07T12:44:30.903642
original_025,CoLA,6.99,6.99,6.49,6.84,5.35,7.45,7.5,7.05,2025-09-07T12:44:30.904642
original_026,CoLA,6.98,6.98,6.48,6.83,5.25,7.35,7.72,7.0,2025-09-07T12:44:30.905646
original_027,CoLA,6.8,6.8,6.3,6.65,4.85,6.95,8.0,6.8,2025-09-07T12:44:30.906645
original_028,CoLA,6.89,6.89,6.39,6.74,5.05,7.15,7.88,6.9,2025-09-07T12:44:30.906645
original_029,CoLA,6.89,6.89,6.39,6.74,5.05,7.15,7.88,6.9,2025-09-07T12:44:30.908645
original_030,CoLA,6.83,6.83,6.33,6.68,4.85,6.95,8.14,6.8,2025-09-07T12:44:30.908645
original_031,CoLA,6.95,6.95,6.45,6.79,5.25,7.35,7.58,7.0,2025-09-07T12:44:30.909640
original_032,CoLA,6.83,6.83,6.33,6.68,4.95,7.05,7.86,6.85,2025-09-07T12:44:30.910645
original_033,CoLA,7.0,7.0,6.5,6.85,5.25,7.35,7.8,7.0,2025-09-07T12:44:30.911642
original_034,CoLA,7.03,7.03,6.53,6.88,5.35,7.45,7.68,7.05,2025-09-07T12:44:30.912641
original_035,CoLA,6.9,6.9,6.4,6.75,5.15,7.25,7.66,6.95,2025-09-07T12:44:30.912641
original_036,CoLA,6.97,6.97,6.47,6.83,5.25,7.35,7.7,7.0,2025-09-07T12:44:30.913641
original_037,CoLA,6.84,6.84,6.34,6.69,4.95,7.05,7.9,6.85,2025-09-07T12:44:30.914642
original_038,CoLA,7.03,7.03,6.53,6.88,5.45,7.55,7.42,7.1,2025-09-07T12:44:30.915641
original_039,CoLA,6.97,6.97,6.47,6.83,6.05,7.55,6.3,7.4,2025-09-07T12:44:30.916642
original_040,CoLA,6.74,6.74,6.24,6.59,4.75,6.85,8.02,6.75,2025-09-07T12:44:30.916642
original_041,CoLA,6.87,6.87,6.37,6.72,5.35,7.45,7.02,7.05,2025-09-07T12:44:30.917641
original_042,CoLA,6.85,6.85,6.35,6.7,4.85,6.95,8.22,6.8,2025-09-07T12:44:30.918642
original_043,CoLA,6.88,6.88,6.38,6.73,5.05,7.15,7.82,6.9,2025-09-07T12:44:30.919643
original_044,CoLA,6.79,6.79,6.29,6.65,4.85,6.95,7.98,6.8,2025-09-07T12:44:30.919643
original_045,CoLA,6.96,6.96,6.46,6.81,5.35,7.45,7.38,7.05,2025-09-07T12:44:30.920646
original_046,CoLA,6.72,6.72,6.22,6.57,4.55,6.65,8.44,6.65,2025-09-07T12:44:30.921645
original_047,CoLA,6.94,6.94,6.44,6.79,5.15,7.25,7.8,6.95,2025-09-07T12:44:30.922644
original_048,CoLA,6.82,6.82,6.32,6.67,4.85,6.95,8.06,6.8,2025-09-07T12:44:30.923642
original_049,CoLA,6.83,6.83,6.33,6.69,5.05,7.15,7.64,6.9,2025-09-07T12:44:30.924649
original_050,CoLA,6.88,6.88,6.38,6.73,5.15,7.25,7.58,6.95,2025-09-07T12:44:30.925645
original_051,CoLA,7.11,7.11,6.61,6.96,5.65,7.75,7.24,7.2,2025-09-07T12:44:30.926643
original_052,CoLA,6.99,6.99,6.49,6.84,5.35,7.45,7.52,7.05,2025-09-07T12:44:30.927642
original_053,CoLA,7.03,7.03,6.53,6.88,5.55,7.65,7.18,7.15,2025-09-07T12:44:30.928645
original_054,CoLA,6.87,6.87,6.37,6.72,5.25,7.35,7.28,7.0,2025-09-07T12:44:30.928645
original_055,CoLA,7.15,7.15,6.65,7.0,5.65,7.75,7.38,7.2,2025-09-07T12:44:30.929644
original_056,CoLA,7.04,7.04,6.54,6.89,5.35,7.45,7.72,7.05,2025-09-07T12:44:30.930642
original_057,CoLA,6.97,6.97,6.47,6.83,5.45,7.55,7.2,7.1,2025-09-07T12:44:30.931645
original_058,CoLA,7.15,7.15,6.65,7.0,5.95,7.65,7.06,7.35,2025-09-07T12:44:30.931645
original_059,CoLA,7.16,7.16,6.66,7.01,5.95,7.65,7.1,7.35,2025-09-07T12:44:30.932646
original_060,CoLA,7.12,7.12,6.62,6.97,5.95,7.65,6.92,7.35,2025-09-07T12:44:30.933641
original_061,CoLA,7.16,7.16,6.66,7.01,5.85,7.75,7.14,7.3,2025-09-07T12:44:30.934644
original_062,CoLA,7.13,7.13,6.63,6.98,5.95,7.65,6.98,7.35,2025-09-07T12:44:30.934644
original_063,CoLA,7.06,7.06,6.56,6.91,5.65,7.75,7.04,7.2,2025-09-07T12:44:30.935641
original_064,CoLA,6.97,6.97,6.47,6.82,5.55,7.65,6.94,7.15,2025-09-07T12:44:30.936640
original_065,CoLA,6.82,6.82,6.32,6.67,4.95,7.05,7.84,6.85,2025-09-07T12:44:30.937647
original_066,CoLA,6.71,6.71,6.21,6.56,4.65,6.75,8.12,6.7,2025-09-07T12:44:30.938646
original_067,CoLA,6.89,6.89,6.39,6.74,5.15,7.25,7.6,6.95,2025-09-07T12:44:30.939646
original_068,CoLA,6.8,6.8,6.3,6.65,4.85,6.95,8.0,6.8,2025-09-07T12:44:30.940642
original_069,CoLA,6.9,6.9,6.4,6.75,5.15,7.25,7.64,6.95,2025-09-07T12:44:30.941643
original_070,CoLA,6.91,6.91,6.41,6.76,5.25,7.35,7.44,7.0,2025-09-07T12:44:30.942640
original_071,CoLA,6.99,6.99,6.49,6.84,5.35,7.45,7.5,7.05,2025-09-07T12:44:30.942640
original_072,CoLA,6.84,6.84,6.34,6.69,4.95,7.05,7.92,6.85,2025-09-07T12:44:30.943643
original_073,CoLA,6.98,6.98,6.48,6.83,5.45,7.55,7.22,7.1,2025-09-07T12:44:30.944642
original_074,CoLA,7.14,7.14,6.64,6.99,5.65,7.75,7.36,7.2,2025-09-07T12:44:30.945642
original_075,CoLA,6.93,6.93,6.43,6.79,6.65,6.95,5.84,7.7,2025-09-07T12:44:30.946645
original_076,CoLA,7.09,7.09,6.59,6.94,5.85,7.75,6.86,7.3,2025-09-07T12:44:30.947648
original_077,CoLA,6.96,6.96,6.46,6.81,5.15,7.25,7.88,6.95,2025-09-07T12:44:30.947648
original_078,CoLA,6.97,6.97,6.47,6.82,5.15,7.25,7.94,6.95,2025-09-07T12:44:30.948645
original_079,CoLA,6.99,6.99,6.49,6.84,5.35,7.45,7.5,7.05,2025-09-07T12:44:30.949659
original_080,CoLA,7.02,7.02,6.52,6.87,5.55,7.65,7.14,7.15,2025-09-07T12:44:30.950655
original_081,CoLA,6.73,6.73,6.23,6.58,4.75,6.85,7.98,6.75,2025-09-07T12:44:30.951658
original_082,CoLA,6.97,6.97,6.47,6.82,5.25,7.35,7.68,7.0,2025-09-07T12:44:30.951658
original_083,CoLA,6.88,6.88,6.38,6.72,5.05,7.15,7.8,6.9,2025-09-07T12:44:30.952656
original_084,CoLA,6.97,6.97,6.47,6.82,5.35,7.45,7.44,7.05,2025-09-07T12:44:30.953667
original_085,CoLA,7.03,7.03,6.53,6.88,6.05,7.55,6.52,7.4,2025-09-07T12:44:30.954658
original_086,CoLA,7.01,7.01,6.51,6.86,5.35,7.45,7.6,7.05,2025-09-07T12:44:30.955666
original_087,CoLA,6.82,6.82,6.32,6.67,5.05,7.15,7.6,6.9,2025-09-07T12:44:30.956656
original_088,CoLA,6.84,6.84,6.34,6.69,4.95,7.05,7.92,6.85,2025-09-07T12:44:30.957660
original_089,CoLA,6.96,6.96,6.46,6.81,7.15,6.45,5.7,7.95,2025-09-07T12:44:30.958656
original_090,CoLA,7.15,7.15,6.65,7.0,6.15,7.45,6.94,7.45,2025-09-07T12:44:30.958656
original_091,CoLA,7.06,7.06,6.56,6.92,5.45,7.55,7.56,7.1,2025-09-07T12:44:30.959656
original_092,CoLA,7.16,7.16,6.66,7.01,5.85,7.75,7.14,7.3,2025-09-07T12:44:30.960655
original_093,CoLA,6.93,6.93,6.43,6.78,5.35,7.45,7.26,7.05,2025-09-07T12:44:30.961662
original_094,CoLA,7.07,7.07,6.57,6.91,5.85,7.75,6.76,7.3,2025-09-07T12:44:30.962660
original_095,CoLA,6.94,6.94,6.44,6.79,5.15,7.25,7.82,6.95,2025-09-07T12:44:30.962660
original_096,CoLA,6.94,6.94,6.44,6.79,5.15,7.25,7.8,6.95,2025-09-07T12:44:30.963666
original_097,CoLA,7.04,7.04,6.54,6.89,5.55,7.65,7.22,7.15,2025-09-07T12:44:30.964815
original_098,CoLA,6.79,6.79,6.29,6.64,4.75,6.85,8.22,6.75,2025-09-07T12:44:30.965812
original_099,CoLA,7.04,7.04,6.54,6.9,5.65,7.75,6.98,7.2,2025-09-07T12:44:30.966820
original_100,CoLA,7.12,7.12,6.62,6.97,6.25,7.35,6.78,7.5,2025-09-07T12:44:30.966820
original_101,XNLI,6.71,6.71,6.21,6.56,7.95,5.65,4.3,8.35,2025-09-07T12:44:30.967810
original_102,XNLI,6.67,6.67,6.17,6.52,8.55,5.05,3.82,8.65,2025-09-07T12:44:30.970813
original_103,XNLI,6.78,6.78,6.28,6.63,7.85,5.75,4.6,8.3,2025-09-07T12:44:30.972809
original_104,XNLI,6.42,6.58,6.08,6.37,9.61,3.75,2.8,9.3,2025-09-07T12:44:30.973810
original_105,XNLI,6.23,6.46,5.96,6.22,9.79,3.45,2.18,9.45,2025-09-07T12:44:30.974808
original_106,XNLI,6.13,6.38,5.88,6.13,9.85,3.25,1.88,9.55,2025-09-07T12:44:30.975809
original_107,XNLI,6.76,6.76,6.26,6.61,8.15,5.45,4.38,8.45,2025-09-07T12:44:30.976809
original_108,XNLI,6.81,6.81,6.31,6.67,8.65,4.95,4.36,8.7,2025-09-07T12:44:30.976809
original_109,XNLI,6.87,6.87,6.37,6.71,8.05,5.55,4.86,8.4,2025-09-07T12:44:30.977811
original_110,XNLI,6.77,6.77,6.27,6.62,7.65,5.95,4.68,8.2,2025-09-07T12:44:30.978813
original_111,XNLI,6.75,6.75,6.25,6.6,7.85,5.75,4.5,8.3,2025-09-07T12:44:30.979814
original_112,XNLI,6.73,6.73,6.23,6.58,8.15,5.45,4.28,8.45,2025-09-07T12:44:30.980813
original_113,XNLI,6.65,6.65,6.15,6.5,8.35,5.25,3.86,8.55,2025-09-07T12:44:30.981807
original_114,XNLI,6.67,6.67,6.17,6.52,8.75,4.85,3.72,8.75,2025-09-07T12:44:30.981807
original_115,XNLI,6.64,6.64,6.14,6.49,9.15,4.45,3.42,8.95,2025-09-07T12:44:30.982807
original_116,XNLI,6.92,6.92,6.42,6.77,6.75,6.85,5.72,7.75,2025-09-07T12:44:30.983808
original_117,XNLI,6.91,6.91,6.41,6.76,6.65,6.95,5.72,7.7,2025-09-07T12:44:30.983808
original_118,XNLI,6.92,6.92,6.42,6.77,6.55,7.05,5.84,7.65,2025-09-07T12:44:30.984808
original_119,XNLI,6.54,6.54,6.04,6.39,9.15,4.45,3.02,8.95,2025-09-07T12:44:30.985808
original_120,XNLI,6.29,6.47,5.97,6.25,9.67,3.65,2.32,9.35,2025-09-07T12:44:30.986810
original_121,XNLI,6.59,6.59,6.09,6.44,9.05,4.55,3.24,8.9,2025-09-07T12:44:30.987813
original_122,XNLI,6.91,6.91,6.41,6.75,6.85,6.75,5.62,7.8,2025-09-07T12:44:30.988815
original_123,XNLI,6.86,6.86,6.36,6.71,7.15,6.45,5.28,7.95,2025-09-07T12:44:30.989810
original_124,XNLI,6.79,6.79,6.29,6.63,7.65,5.95,4.74,8.2,2025-09-07T12:44:30.989810
original_125,XNLI,6.63,6.63,6.13,6.48,8.75,4.85,3.58,8.75,2025-09-07T12:44:30.990809
original_126,XNLI,6.63,6.63,6.13,6.48,8.15,5.45,3.88,8.45,2025-09-07T12:44:30.991808
original_127,XNLI,6.64,6.64,6.14,6.49,8.65,4.95,3.66,8.7,2025-09-07T12:44:30.992807
original_128,XNLI,6.83,6.83,6.33,6.68,6.95,6.65,5.26,7.85,2025-09-07T12:44:30.993810
original_129,XNLI,6.88,6.88,6.38,6.74,6.65,6.95,5.64,7.7,2025-09-07T12:44:30.993810
original_130,XNLI,6.84,6.84,6.34,6.7,6.85,6.75,5.38,7.8,2025-09-07T12:44:30.994807
original_131,XNLI,6.65,6.65,6.15,6.5,8.25,5.35,3.9,8.5,2025-09-07T12:44:30.995812
original_132,XNLI,6.68,6.68,6.18,6.53,8.05,5.55,4.12,8.4,2025-09-07T12:44:30.995812
original_133,XNLI,6.63,6.63,6.13,6.48,8.15,5.45,3.88,8.45,2025-09-07T12:44:30.996810
original_134,XNLI,6.85,6.85,6.35,6.7,7.55,6.05,5.06,8.15,2025-09-07T12:44:30.997807
original_135,XNLI,6.87,6.87,6.37,6.72,7.75,5.85,5.02,8.25,2025-09-07T12:44:30.997807
original_136,XNLI,6.87,6.87,6.37,6.72,7.35,6.25,5.24,8.05,2025-09-07T12:44:30.998807
original_137,XNLI,6.66,6.66,6.16,6.52,8.45,5.15,3.86,8.6,2025-09-07T12:44:30.999808
original_138,XNLI,6.61,6.61,6.11,6.46,8.95,4.65,3.4,8.85,2025-09-07T12:44:31.000810
original_139,XNLI,6.6,6.6,6.1,6.45,9.05,4.55,3.28,8.9,2025-09-07T12:44:31.000810
original_140,XNLI,6.77,6.77,6.27,6.62,7.85,5.75,4.58,8.3,2025-09-07T12:44:31.001818
original_141,XNLI,6.75,6.75,6.25,6.6,7.75,5.85,4.56,8.25,2025-09-07T12:44:31.002809
original_142,XNLI,6.79,6.79,6.29,6.64,7.65,5.95,4.78,8.2,2025-09-07T12:44:31.004808
original_143,XNLI,6.79,6.79,6.29,6.63,7.25,6.35,4.94,8.0,2025-09-07T12:44:31.005811
original_144,XNLI,6.82,6.82,6.32,6.68,7.45,6.15,5.0,8.1,2025-09-07T12:44:31.005811
original_145,XNLI,6.82,6.82,6.32,6.67,7.45,6.15,4.98,8.1,2025-09-07T12:44:31.006807
original_146,XNLI,6.69,6.69,6.19,6.54,8.15,5.45,4.1,8.45,2025-09-07T12:44:31.006807
original_147,XNLI,6.65,6.65,6.15,6.5,8.55,5.05,3.74,8.65,2025-09-07T12:44:31.007805
original_148,XNLI,6.62,6.62,6.12,6.47,8.45,5.15,3.7,8.6,2025-09-07T12:44:31.008809
original_149,XNLI,6.67,6.67,6.17,6.52,9.15,4.45,3.54,8.95,2025-09-07T12:44:31.009810
original_150,XNLI,6.61,6.61,6.11,6.46,8.85,4.75,3.42,8.8,2025-09-07T12:44:31.009810
original_151,XNLI,6.71,6.71,6.21,6.56,8.85,4.75,3.82,8.8,2025-09-07T12:44:31.010809
original_152,XNLI,6.61,6.61,6.11,6.46,9.05,4.55,3.34,8.9,2025-09-07T12:44:31.011810
original_153,XNLI,6.49,6.51,6.01,6.35,9.31,4.25,2.8,9.05,2025-09-07T12:44:31.012809
original_154,XNLI,6.6,6.6,6.1,6.45,8.95,4.65,3.34,8.85,2025-09-07T12:44:31.013810
original_155,XNLI,6.75,6.75,6.25,6.6,7.55,6.05,4.66,8.15,2025-09-07T12:44:31.013810
original_156,XNLI,6.74,6.74,6.24,6.59,7.55,6.05,4.62,8.15,2025-09-07T12:44:31.014806
original_157,XNLI,6.69,6.69,6.19,6.54,7.75,5.85,4.32,8.25,2025-09-07T12:44:31.015808
original_158,XNLI,6.67,6.67,6.17,6.52,8.25,5.35,3.98,8.5,2025-09-07T12:44:31.016810
original_159,XNLI,6.65,6.65,6.15,6.5,8.15,5.45,3.94,8.45,2025-09-07T12:44:31.017811
original_160,XNLI,6.66,6.66,6.16,6.51,8.15,5.45,3.98,8.45,2025-09-07T12:44:31.017811
original_161,XNLI,6.51,6.56,6.06,6.39,9.37,4.15,2.94,9.1,2025-09-07T12:44:31.018810
original_162,XNLI,6.62,6.62,6.12,6.47,8.65,4.95,3.6,8.7,2025-09-07T12:44:31.019810
original_163,XNLI,6.52,6.57,6.07,6.4,9.37,4.15,2.98,9.1,2025-09-07T12:44:31.020808
original_164,XNLI,6.61,6.61,6.11,6.46,8.95,4.65,3.4,8.85,2025-09-07T12:44:31.021815
original_165,XNLI,6.62,6.62,6.12,6.47,8.85,4.75,3.48,8.8,2025-09-07T12:44:31.022810
original_166,XNLI,6.57,6.57,6.08,6.43,9.05,4.55,3.2,8.9,2025-09-07T12:44:31.022810
original_167,XNLI,6.81,6.81,6.31,6.66,7.45,6.15,4.96,8.1,2025-09-07T12:44:31.023811
original_168,XNLI,6.83,6.83,6.33,6.68,7.15,6.45,5.18,7.95,2025-09-07T12:44:31.024810
original_169,XNLI,6.82,6.82,6.32,6.67,7.55,6.05,4.92,8.15,2025-09-07T12:44:31.024810
original_170,XNLI,6.76,6.76,6.26,6.61,7.45,6.15,4.72,8.1,2025-09-07T12:44:31.025809
original_171,XNLI,6.78,6.78,6.28,6.63,7.05,6.55,5.02,7.9,2025-09-07T12:44:31.026812
original_172,XNLI,6.74,6.74,6.24,6.59,7.35,6.25,4.72,8.05,2025-09-07T12:44:31.026812
original_173,XNLI,6.9,6.9,6.4,6.75,6.75,6.85,5.64,7.75,2025-09-07T12:44:31.027814
original_174,XNLI,6.94,6.94,6.44,6.79,6.75,6.85,5.82,7.75,2025-09-07T12:44:31.028809
original_175,XNLI,6.86,6.86,6.36,6.71,7.05,6.55,5.34,7.9,2025-09-07T12:44:31.029811
original_176,XNLI,6.77,6.77,6.27,6.62,8.35,5.25,4.32,8.55,2025-09-07T12:44:31.029811
original_177,XNLI,6.68,6.68,6.18,6.53,8.95,4.65,3.66,8.85,2025-09-07T12:44:31.030808
original_178,XNLI,6.82,6.82,6.32,6.67,7.75,5.85,4.82,8.25,2025-09-07T12:44:31.031812
original_179,XNLI,6.34,6.44,5.94,6.25,9.49,3.95,2.36,9.2,2025-09-07T12:44:31.032808
original_180,XNLI,6.43,6.54,6.04,6.34,9.49,3.95,2.74,9.2,2025-09-07T12:44:31.033811
original_181,XNLI,6.3,6.51,6.01,6.28,9.73,3.55,2.42,9.4,2025-09-07T12:44:31.034809
original_182,XNLI,6.88,6.88,6.38,6.73,6.65,6.95,5.62,7.7,2025-09-07T12:44:31.035811
original_183,XNLI,6.89,6.89,6.39,6.74,6.55,7.05,5.7,7.65,2025-09-07T12:44:31.036810
original_184,XNLI,6.92,6.92,6.42,6.77,6.65,6.95,5.78,7.7,2025-09-07T12:44:31.037813
original_185,XNLI,6.88,6.88,6.38,6.73,7.15,6.45,5.38,7.95,2025-09-07T12:44:31.038814
original_186,XNLI,6.83,6.83,6.33,6.68,7.35,6.25,5.08,8.05,2025-09-07T12:44:31.039811
original_187,XNLI,6.84,6.84,6.34,6.69,6.95,6.65,5.3,7.85,2025-09-07T12:44:31.040812
original_188,XNLI,6.78,6.78,6.28,6.63,7.55,6.05,4.76,8.15,2025-09-07T12:44:31.041807
original_189,XNLI,6.85,6.85,6.35,6.7,6.95,6.65,5.34,7.85,2025-09-07T12:44:31.042808
original_190,XNLI,6.82,6.82,6.32,6.67,7.35,6.25,5.02,8.05,2025-09-07T12:44:31.042808
original_191,XNLI,6.89,6.89,6.39,6.75,7.25,6.35,5.38,8.0,2025-09-07T12:44:31.043807
original_192,XNLI,6.94,6.94,6.44,6.79,6.75,6.85,5.8,7.75,2025-09-07T12:44:31.044806
original_193,XNLI,6.94,6.94,6.44,6.79,6.45,7.15,5.96,7.6,2025-09-07T12:44:31.044806
original_194,XNLI,6.79,6.79,6.29,6.64,7.35,6.25,4.9,8.05,2025-09-07T12:44:31.045808
original_195,XNLI,6.84,6.84,6.34,6.69,6.95,6.65,5.3,7.85,2025-09-07T12:44:31.046808
original_196,XNLI,6.8,6.8,6.3,6.65,7.05,6.55,5.1,7.9,2025-09-07T12:44:31.046808
original_197,XNLI,6.65,6.65,6.15,6.51,9.05,4.55,3.52,8.9,2025-09-07T12:44:31.047816
original_198,XNLI,6.45,6.55,6.05,6.36,9.49,3.95,2.8,9.2,2025-09-07T12:44:31.048809
original_199,XNLI,6.63,6.63,6.13,6.48,9.15,4.45,3.36,8.95,2025-09-07T12:44:31.049820
original_200,XNLI,6.83,6.83,6.33,6.68,7.05,6.55,5.22,7.9,2025-09-07T12:44:31.050822
